,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
50,"46,976",Ta-Yang Wang,"Python3_652,Python_5,C_2",160.0,96.5,352.0,98.2,142.0,98.9,"2,553","Find All Groups of Farmland,Number of Islands,Island Perimeter,Maximum Elegance of a K-Length Subsequence,Island Perimeter,Smallest String Starting From Leaf,Minimize Maximum of Array,Palindrome Partitioning II,Word Break,Check if There is a Valid Partition For The Array,Add One Row to Tree,Sum Root to Leaf Numbers,Ugly Number III,Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array",242.0,"Dynamic Programming-169,Monotonic Stack-22,Backtracking-16,Rolling Hash-15,Union Find-12,Trie-10,Divide and Conquer-9,Monotonic Queue-8","Hash Table-130,Math-101,Greedy-93,Binary Search-58,Sliding Window-55,Bit Manipulation-54,Depth-First Search-39,Breadth-First Search-30","Array-402,String-167,Sorting-100,Two Pointers-48,Matrix-45,Stack-41,Simulation-32,Enumeration-22"
53,"34,812",SirTechnical,"C++_414,Python3_360,C_1",179.0,97.3,387.0,98.6,158.0,99.2,761,"Find All Groups of Farmland,Number of Islands,Smallest String Starting From Leaf,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Minimum Time to Visit Disappearing Nodes,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Rectangles to Cover Points,Score of a String,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order",245.0,"Dynamic Programming-138,Union Find-27,Backtracking-19,Divide and Conquer-15,Trie-14,Monotonic Stack-12,Segment Tree-10,Topological Sort-10","Hash Table-182,Math-104,Greedy-93,Depth-First Search-79,Binary Search-72,Tree-62,Breadth-First Search-62,Graph-55","Array-433,String-169,Sorting-129,Matrix-55,Two Pointers-51,Simulation-45,Stack-33,Linked List-24"
54,"72,002",pingchungchang,"C++_552,Python3_8,Python_3",197.0,98.0,296.0,97.3,64.0,94.5,229,"Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Minimize Manhattan Distances,Harshad Number,Count Alternating Subarrays,Water Bottles II,Distribute Elements Into Two Arrays II,Minimum Operations to Write the Letter Y on a Grid,Distribute Elements Into Two Arrays I",32.0,"Dynamic Programming-100,Backtracking-12,Union Find-12,Trie-11,Monotonic Stack-8,Rolling Hash-7,Divide and Conquer-7,Segment Tree-6","Hash Table-120,Math-104,Greedy-81,Binary Search-40,Depth-First Search-35,Breadth-First Search-34,Tree-31,Bit Manipulation-31","Array-340,String-135,Sorting-86,Two Pointers-51,Matrix-49,Simulation-49,Stack-29,Enumeration-26"
55,"1,474",Xiaomeng Yang,"C++_1685,Python3_9",413.0,99.8,840.0,99.91,439.0,99.95,"1,808","Shortest Bridge,Knight Dialer,Number of Recent Calls,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Distinct Subsequences II,Minimum Area Rectangle,Range Sum of BST,Reorder Data in Log Files,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String",241.0,"Dynamic Programming-304,Union Find-49,Backtracking-43,Monotonic Stack-37,Segment Tree-31,Bitmask-28,Binary Indexed Tree-25,Trie-23","Hash Table-357,Math-293,Greedy-272,Binary Search-163,Bit Manipulation-134,Depth-First Search-124,Breadth-First Search-109,Tree-97","Array-1081,String-410,Sorting-274,Matrix-134,Simulation-115,Two Pointers-97,Stack-79,Enumeration-66"
57,"6,437",kzyKT,C++_1162,313.0,99.5,599.0,99.7,250.0,99.8,376,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",56.0,"Dynamic Programming-190,Union Find-36,Backtracking-31,Bitmask-21,Monotonic Stack-20,Trie-17,Binary Indexed Tree-16,Segment Tree-15","Hash Table-257,Math-202,Greedy-182,Binary Search-106,Bit Manipulation-95,Depth-First Search-81,Breadth-First Search-76,Tree-67","Array-751,String-281,Sorting-198,Matrix-89,Simulation-87,Two Pointers-65,Enumeration-51,Stack-49"
60,"467,293",scanhex,"C++_133,Python3_49",48.0,76.5,88.0,84.1,46.0,91.1,262,"Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Kth Smallest Amount With Single Denomination Combination,Score of a String,Minimum Rectangles to Cover Points,Minimum Time to Visit Disappearing Nodes,Find the Number of Subarrays Where Boundary Elements Are Maximum,Longest Strictly Increasing or Strictly Decreasing Subarray,Lexicographically Smallest String After Operations With Constraint,Minimum Operations to Make Median of Array Equal to K,Minimum Cost Walk in Weighted Graph,Minimize Manhattan Distances,Harshad Number,Water Bottles II",41.0,"Dynamic Programming-29,Rolling Hash-6,Monotonic Stack-5,Union Find-4,Segment Tree-4,Trie-2,Binary Indexed Tree-2,Monotonic Queue-2","Math-40,Greedy-39,Hash Table-33,Binary Search-23,Bit Manipulation-20,Sliding Window-10,Graph-7,Tree-6","Array-125,Sorting-39,String-38,Simulation-14,Two Pointers-13,Matrix-10,Enumeration-10,Stack-8"
63,553,Musab Mufti,"C++_2113,JavaScript_13,Python3_10",554.0,99.95,1036.0,99.96,544.0,99.98,871,"Island Perimeter,Smallest String Starting From Leaf,Circular Permutation in Binary Representation,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Maximal Rectangle,Trapping Rain Water",155.0,"Dynamic Programming-389,Backtracking-75,Union Find-58,Monotonic Stack-46,Trie-40,Divide and Conquer-38,Bitmask-36,Segment Tree-32","Hash Table-428,Math-400,Greedy-283,Depth-First Search-198,Binary Search-193,Breadth-First Search-171,Bit Manipulation-171,Tree-152","Array-1252,String-530,Sorting-312,Matrix-157,Two Pointers-151,Simulation-125,Stack-121,Enumeration-62"
64,"63,719",Mudrika,"C++_580,MySQL_14,Java_1",199.0,98.0,313.0,97.6,74.0,95.6,"1,996","Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Find K-th Smallest Pair Distance,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points",320.0,"Dynamic Programming-103,Union Find-22,Backtracking-15,Monotonic Stack-15,Divide and Conquer-14,Topological Sort-6,Shortest Path-6,Monotonic Queue-5","Hash Table-107,Math-76,Depth-First Search-75,Binary Search-70,Tree-62,Greedy-59,Breadth-First Search-59,Binary Tree-58","Array-328,String-108,Sorting-94,Two Pointers-58,Matrix-45,Stack-41,Simulation-34,Linked List-31"
65,"379,067",Jie Chen,"C++_198,Python3_24,Java_1",68.0,84.1,109.0,87.3,40.0,89.4,246,"Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Cost Walk in Weighted Graph,Harshad Number,Water Bottles II,Count Alternating Subarrays,Minimize Manhattan Distances,Diameter of Binary Tree",43.0,"Dynamic Programming-21,Trie-8,Rolling Hash-6,Union Find-6,Monotonic Stack-6,Segment Tree-4,Backtracking-3,Quickselect-3","Hash Table-50,Math-45,Greedy-29,Binary Search-22,Tree-13,Bit Manipulation-13,Depth-First Search-12,Graph-11","Array-143,String-54,Sorting-34,Simulation-18,Enumeration-18,Matrix-13,Two Pointers-12,Stack-11"
66,375,IphoneX,"Java_2273,Python3_119,C++_3",466.0,99.9,1181.0,99.98,639.0,99.99,"1,471","Maximum Element-Sum of a Complete Subset of Indices,Count the Number of Ideal Arrays,Find the K-Sum of an Array,Maximum Number of Potholes That Can Be Fixed,Burst Balloons,Number of Excellent Pairs,Constrained Subsequence Sum,Maximum Element-Sum of a Complete Subset of Indices,Count Beautiful Substrings II,Maximum Length of Repeated Subarray,Longest Common Subpath,Kth Smallest Number in Multiplication Table,Ugly Number III,Ugly Number,Maximum Strength of K Disjoint Subarrays",198.0,"Dynamic Programming-437,Backtracking-75,Union Find-72,Trie-53,Monotonic Stack-52,Segment Tree-42,Bitmask-40,Binary Indexed Tree-36","Hash Table-477,Math-404,Greedy-333,Binary Search-226,Depth-First Search-197,Breadth-First Search-175,Bit Manipulation-165,Tree-143","Array-1403,String-573,Sorting-342,Matrix-186,Two Pointers-138,Simulation-127,Stack-119,Enumeration-75"
67,"1,028",Peter Lin,"C++_1844,Python3_16,Python_7",586.0,99.96,956.0,99.95,313.0,99.9,"1,138","Find All Groups of Farmland,Number of Islands,Steps to Make Array Non-decreasing,Count Unique Characters of All Substrings of a Given String,Island Perimeter,Number of Ways to Arrive at Destination,Count Unique Characters of All Substrings of a Given String,Maximum Number of Darts Inside of a Circular Dartboard,Smallest String Starting From Leaf,Add One Row to Tree,Kth Smallest Amount With Single Denomination Combination,Sum Root to Leaf Numbers,Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination",363.0,"Dynamic Programming-290,Backtracking-56,Union Find-53,Monotonic Stack-30,Divide and Conquer-27,Trie-27,Segment Tree-19,Game Theory-17","Hash Table-397,Math-337,Greedy-239,Binary Search-175,Depth-First Search-161,Breadth-First Search-139,Tree-129,Bit Manipulation-128","Array-1101,String-464,Sorting-283,Two Pointers-140,Matrix-134,Simulation-121,Stack-83,Enumeration-62"
72,"11,287",trantai,"C++_877,Go_64,Python_57",190.0,97.7,532.0,99.5,284.0,99.8,"2,067","Merge In Between Linked Lists,Task Scheduler,Contiguous Array,Minimum Number of Arrows to Burst Balloons,Replace Question Marks in String to Minimize Its Value,Find the Sum of the Power of All Subsequences,Custom Sort String,Maximum Strength of K Disjoint Subarrays,Shortest Uncommon Substring in an Array,Maximize Happiness of Selected Children,Bag of Tokens,Minimum Operations to Write the Letter Y on a Grid,Count Submatrices with Top-Left Element and Sum Less Than k,Distribute Elements Into Two Arrays I,Distribute Elements Into Two Arrays II",275.0,"Dynamic Programming-220,Backtracking-36,Union Find-34,Monotonic Stack-29,Trie-22,Bitmask-19,Divide and Conquer-19,Segment Tree-19","Hash Table-210,Math-192,Greedy-131,Binary Search-100,Depth-First Search-91,Bit Manipulation-90,Tree-79,Breadth-First Search-76","Array-623,String-196,Sorting-159,Matrix-80,Two Pointers-69,Stack-52,Simulation-50,Enumeration-30"
73,"14,545",Kim Taeyeon,"C++_682,Python_219,Python3_56",235.0,98.8,501.0,99.4,200.0,99.6,223,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k,Maximum Length Substring With Two Occurrences,Maximum Strength of K Disjoint Subarrays,Shortest Uncommon Substring in an Array,Maximize Happiness of Selected Children,Apple Redistribution into Boxes,Distribute Elements Into Two Arrays II,Minimum Operations to Write the Letter Y on a Grid,Count Submatrices with Top-Left Element and Sum Less Than k",41.0,"Dynamic Programming-166,Backtracking-38,Union Find-26,Divide and Conquer-23,Trie-20,Monotonic Stack-20,Bitmask-13,Topological Sort-13","Hash Table-175,Math-159,Greedy-117,Binary Search-92,Depth-First Search-81,Bit Manipulation-75,Tree-65,Breadth-First Search-61","Array-542,String-243,Sorting-124,Two Pointers-82,Matrix-70,Stack-54,Simulation-51,Linked List-28"
75,88,Agnibha Chakraborty,"C++_2526,Python_288,Java_31",633.0,99.98,1478.0,99.99,631.0,99.99,"1,123","Minimum Path Sum,Best Time to Buy and Sell Stock,Keyboard Row,Best Time to Buy and Sell Stock II,Longest Common Subsequence,Find All Groups of Farmland,Longest Increasing Subsequence,Subsets,Single Number III,Single Number,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers",357.0,"Dynamic Programming-483,Backtracking-100,Union Find-81,Monotonic Stack-58,Trie-53,Divide and Conquer-46,Bitmask-43,Segment Tree-41","Hash Table-570,Math-489,Greedy-358,Depth-First Search-284,Binary Search-257,Tree-227,Breadth-First Search-226,Bit Manipulation-199","Array-1611,String-683,Sorting-391,Matrix-217,Two Pointers-198,Stack-151,Simulation-147,Enumeration-76"
78,"1,147",M Kawa,"Python3_1793,C++_11,Python_2",463.0,99.9,957.0,99.95,380.0,99.93,842,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String",363.0,"Dynamic Programming-322,Backtracking-57,Union Find-50,Monotonic Stack-36,Divide and Conquer-33,Trie-30,Bitmask-25,Segment Tree-25","Hash Table-378,Math-301,Greedy-252,Binary Search-173,Depth-First Search-154,Bit Manipulation-143,Breadth-First Search-136,Tree-128","Array-1085,String-436,Sorting-269,Matrix-137,Two Pointers-136,Simulation-114,Stack-92,Enumeration-60"
79,"587,853",awang11,"C++_140,Python3_9,Java_1",30.0,64.2,61.0,78.2,57.0,93.4,437,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Length of Last Word,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Distribute Elements Into Two Arrays II,Minimum Operations to Write the Letter Y on a Grid",63.0,"Dynamic Programming-39,Backtracking-9,Union Find-6,Monotonic Stack-5,Segment Tree-4,Bitmask-3,Divide and Conquer-3,Binary Indexed Tree-3","Math-28,Greedy-22,Binary Search-21,Hash Table-18,Bit Manipulation-14,Breadth-First Search-13,Depth-First Search-9,Graph-8","Array-97,String-26,Sorting-20,Matrix-13,Simulation-8,Stack-8,Enumeration-7,Two Pointers-5"
80,"178,755",Devang Vaghani,C++_360,123.0,93.7,190.0,93.8,47.0,91.3,549,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Trapping Rain Water,Remove K Digits,Time Needed to Buy Tickets",207.0,"Dynamic Programming-58,Backtracking-14,Union Find-8,Monotonic Stack-8,Rolling Hash-5,Divide and Conquer-5,Trie-5,Segment Tree-2","Hash Table-69,Math-49,Depth-First Search-42,Tree-41,Binary Tree-39,Greedy-39,Breadth-First Search-31,Bit Manipulation-24","Array-211,String-80,Sorting-53,Two Pointers-33,Matrix-30,Stack-26,Simulation-16,Queue-10"
81,"31,971",Dhanraj Chaurasia,"C++_690,MySQL_54,MS SQL Server_5",221.0,98.5,378.0,98.5,145.0,99.0,584,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k,Maximum Length Substring With Two Occurrences,Minimum Moves to Pick K Ones,Minimum Deletions to Make String K-Special,Count Substrings Starting and Ending with Given Character",89.0,"Dynamic Programming-146,Union Find-23,Backtracking-16,Segment Tree-16,Monotonic Stack-16,Binary Indexed Tree-15,Divide and Conquer-14,Trie-11","Hash Table-158,Math-100,Greedy-96,Binary Search-91,Database-56,Depth-First Search-53,Bit Manipulation-49,Breadth-First Search-47","Array-449,String-152,Sorting-113,Two Pointers-63,Matrix-61,Simulation-37,Stack-31,Enumeration-29"
